[2025-04-30 06:30:05.966] [info] [thread_pool.cc:30] Create a fixed thread pool with size 191
[2025-04-30 06:30:06.137] [info] [thread_pool.cc:30] Create a fixed thread pool with size 191
[2025-04-30 06:30:43.855] [info] [cheetah_dot.cc:310] CheetahDot uses 3@2 modulus 8192 degree for 64 bit ring (packing=enabled)
[2025-04-30 06:30:56.415] [info] [cheetah_dot.cc:475] 1@1024x2048x1024 => 1024x8x1 Recv 45.158 MiB, Response 31.049 MiB Pack 1938.575 ms (interleave)
[2025-04-30 06:30:57.018] [info] [cheetah_dot.cc:475] 1@1024x2048x1024 => 1024x8x1 Recv 45.158 MiB, Response 31.049 MiB Pack 1877.646 ms (interleave)
[2025-04-30 06:31:04.167] [info] [cheetah_mul.cc:335] CheetahMul uses 4 modulus for 64 bit input over 64 bit ring
[2025-04-30 06:31:04.169] [info] [cheetah_mul.cc:335] CheetahMul uses 4 modulus for 64 bit input over 64 bit ring
[2025-04-30 06:31:48.224] [info] [cheetah_dot.cc:475] 1@1024x2048x1024 => 1024x8x1 Recv 45.158 MiB, Response 31.05 MiB Pack 1874.213 ms (interleave)
[2025-04-30 06:31:48.600] [info] [cheetah_dot.cc:475] 1@1024x2048x1024 => 1024x8x1 Recv 45.158 MiB, Response 31.049 MiB Pack 1917.508 ms (interleave)
[2025-04-30 06:31:57.640] [info] [cheetah_dot.cc:475] 1@1024x1024x2048 => 1024x8x1 Recv 22.579 MiB, Response 62.099 MiB Pack 3578.382 ms (interleave)
[2025-04-30 06:31:58.138] [info] [cheetah_dot.cc:475] 1@1024x1024x2048 => 1024x8x1 Recv 22.579 MiB, Response 62.099 MiB Pack 3805.664 ms (interleave)
[2025-04-30 06:31:59.504] [info] [cheetah_dot.cc:475] 1@128x2048x64 => 1x128x64 Recv 2.823 MiB, Response 0.243 MiB Pack 43.09 ms (interleave)
[2025-04-30 06:31:59.537] [info] [cheetah_dot.cc:475] 1@128x2048x64 => 1x128x64 Recv 2.822 MiB, Response 0.243 MiB Pack 46.966 ms (interleave)
[2025-04-30 06:32:03.543] [info] [api.cc:172] [Profiling] SPU execution insecure_baseline completed, input processing took 5.385e-06s, execution took 80.020691808s, output processing took 3.001e-06s, total time 80.020700194s.
[2025-04-30 06:32:03.544] [info] [api.cc:220] HLO profiling: total time 80.018815894
[2025-04-30 06:32:03.544] [info] [api.cc:223] - pphlo.dot, executed 5 times, duration 38.645836741s, send bytes 310279941 recv bytes 284664057, send actions 107447, recv actions 45959
[2025-04-30 06:32:03.544] [info] [api.cc:223] - pphlo.reciprocal, executed 2 times, duration 31.967461634s, send bytes 1537146933 recv bytes 1234821726, send actions 131663, recv actions 192911
[2025-04-30 06:32:03.544] [info] [api.cc:223] - pphlo.exponential, executed 2 times, duration 4.3541587s, send bytes 616077785 recv bytes 592172984, send actions 4570, recv actions 4570
[2025-04-30 06:32:03.544] [info] [api.cc:223] - pphlo.custom_call: mhlo.topk, executed 1 times, duration 3.698976618s, send bytes 24648482 recv bytes 29486971, send actions 20236, recv actions 20236
[2025-04-30 06:32:03.544] [info] [api.cc:223] - pphlo.multiply, executed 4 times, duration 1.314275685s, send bytes 241445350 recv bytes 229375504, send actions 1682, recv actions 1682
[2025-04-30 06:32:03.544] [info] [api.cc:223] - pphlo.reduce, executed 2 times, duration 0.02046726s, send bytes 69216 recv bytes 19040, send actions 60, recv actions 60
[2025-04-30 06:32:03.544] [info] [api.cc:223] - pphlo.reshape, executed 8 times, duration 0.007921696s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - pphlo.less, executed 1 times, duration 0.003611191s, send bytes 8848 recv bytes 1680, send actions 18, recv actions 18
[2025-04-30 06:32:03.544] [info] [api.cc:223] - pphlo.add, executed 2 times, duration 0.002775971s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - pphlo.negate, executed 2 times, duration 0.00244059s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - pphlo.select, executed 1 times, duration 0.00049039s, send bytes 1040 recv bytes 1040, send actions 2, recv actions 2
[2025-04-30 06:32:03.544] [info] [api.cc:223] - pphlo.free, executed 46 times, duration 0.000121284s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - pphlo.convert, executed 2 times, duration 9.5071e-05s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - pphlo.constant, executed 6 times, duration 5.7858e-05s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - pphlo.slice, executed 4 times, duration 5.251e-05s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - pphlo.transpose, executed 2 times, duration 4.2589e-05s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:223] - pphlo.broadcast, executed 4 times, duration 3.0106e-05s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:32:03.544] [info] [api.cc:220] HAL profiling: total time 78.187886322
[2025-04-30 06:32:03.544] [info] [api.cc:223] - f_mmul, executed 5 times, duration 38.645597525s, send bytes 310279941 recv bytes 284664057, send actions 107447, recv actions 45959
[2025-04-30 06:32:03.544] [info] [api.cc:223] - f_reciprocal, executed 2 times, duration 31.96737748s, send bytes 1537146933 recv bytes 1234821726, send actions 131663, recv actions 192911
[2025-04-30 06:32:03.544] [info] [api.cc:223] - f_exp, executed 2 times, duration 4.354140684s, send bytes 616077785 recv bytes 592172984, send actions 4570, recv actions 4570
[2025-04-30 06:32:03.544] [info] [api.cc:223] - f_less, executed 764 times, duration 1.841961302s, send bytes 1437496 recv bytes 323880, send actions 13752, recv actions 13752
[2025-04-30 06:32:03.544] [info] [api.cc:223] - f_mul, executed 4 times, duration 1.31421466s, send bytes 241445350 recv bytes 229375504, send actions 1682, recv actions 1682
