[2025-04-30 06:27:07.305] [info] [thread_pool.cc:30] Create a fixed thread pool with size 191
[2025-04-30 06:27:07.448] [info] [thread_pool.cc:30] Create a fixed thread pool with size 191
[2025-04-30 06:27:54.955] [info] [cheetah_dot.cc:310] CheetahDot uses 3@2 modulus 8192 degree for 64 bit ring (packing=enabled)
[2025-04-30 06:28:04.185] [info] [cheetah_dot.cc:475] 1@480x2048x1408 => 480x16x1 Recv 22.579 MiB, Response 21.346 MiB Pack 1964.358 ms (interleave)
[2025-04-30 06:28:04.500] [info] [cheetah_dot.cc:475] 1@480x2048x1408 => 480x16x1 Recv 22.579 MiB, Response 21.346 MiB Pack 1968.142 ms (interleave)
[2025-04-30 06:28:12.327] [info] [cheetah_mul.cc:335] CheetahMul uses 4 modulus for 64 bit input over 64 bit ring
[2025-04-30 06:28:12.359] [info] [cheetah_mul.cc:335] CheetahMul uses 4 modulus for 64 bit input over 64 bit ring
[2025-04-30 06:28:46.589] [info] [cheetah_dot.cc:475] 1@480x2048x1408 => 480x16x1 Recv 22.579 MiB, Response 21.347 MiB Pack 2390.503 ms (interleave)
[2025-04-30 06:28:48.136] [info] [cheetah_dot.cc:475] 1@480x2048x1408 => 480x16x1 Recv 22.579 MiB, Response 21.346 MiB Pack 2020.028 ms (interleave)
[2025-04-30 06:28:54.703] [info] [cheetah_dot.cc:475] 1@480x1408x2048 => 480x16x1 Recv 15.523 MiB, Response 31.049 MiB Pack 2851.157 ms (interleave)
[2025-04-30 06:28:55.160] [info] [cheetah_dot.cc:475] 1@480x1408x2048 => 480x16x1 Recv 15.524 MiB, Response 31.05 MiB Pack 2963.741 ms (interleave)
[2025-04-30 06:28:56.115] [info] [cheetah_dot.cc:475] 1@128x2048x60 => 1x128x60 Recv 2.823 MiB, Response 0.243 MiB Pack 40.184 ms (interleave)
[2025-04-30 06:28:56.147] [info] [cheetah_dot.cc:475] 1@128x2048x60 => 1x128x60 Recv 2.822 MiB, Response 0.243 MiB Pack 44.027 ms (interleave)
[2025-04-30 06:28:59.937] [info] [api.cc:172] [Profiling] SPU execution insecure_baseline completed, input processing took 6.681e-06s, execution took 65.299636507s, output processing took 3.357e-06s, total time 65.299646545s.
[2025-04-30 06:28:59.937] [info] [api.cc:220] HLO profiling: total time 65.296642424
[2025-04-30 06:28:59.937] [info] [api.cc:223] - pphlo.dot, executed 5 times, duration 32.749676407s, send bytes 197043878 recv bytes 176774632, send actions 106943, recv actions 45455
[2025-04-30 06:28:59.937] [info] [api.cc:223] - pphlo.reciprocal, executed 2 times, duration 24.629952762s, send bytes 997517374 recv bytes 807212768, send actions 68055, recv actions 129399
[2025-04-30 06:28:59.937] [info] [api.cc:223] - pphlo.custom_call: mhlo.topk, executed 1 times, duration 3.498594932s, send bytes 22774868 recv bytes 27311362, send actions 19312, recv actions 19312
[2025-04-30 06:28:59.937] [info] [api.cc:223] - pphlo.exponential, executed 2 times, duration 3.376127145s, send bytes 405412332 recv bytes 390427548, send actions 3162, recv actions 3162
[2025-04-30 06:28:59.937] [info] [api.cc:223] - pphlo.multiply, executed 4 times, duration 1.012573999s, send bytes 157176406 recv bytes 150469761, send actions 1154, recv actions 1154
[2025-04-30 06:28:59.937] [info] [api.cc:223] - pphlo.reduce, executed 2 times, duration 0.010697924s, send bytes 29664 recv bytes 8160, send actions 40, recv actions 40
[2025-04-30 06:28:59.937] [info] [api.cc:223] - pphlo.add, executed 2 times, duration 0.007178553s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - pphlo.reshape, executed 8 times, duration 0.004152477s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - pphlo.less, executed 1 times, duration 0.003880433s, send bytes 8848 recv bytes 1680, send actions 18, recv actions 18
[2025-04-30 06:28:59.937] [info] [api.cc:223] - pphlo.negate, executed 2 times, duration 0.002453457s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - pphlo.slice, executed 4 times, duration 0.000537796s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - pphlo.select, executed 1 times, duration 0.000393158s, send bytes 1040 recv bytes 1040, send actions 2, recv actions 2
[2025-04-30 06:28:59.937] [info] [api.cc:223] - pphlo.free, executed 46 times, duration 0.000172553s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - pphlo.convert, executed 2 times, duration 8.3405e-05s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
[2025-04-30 06:28:59.937] [info] [api.cc:223] - pphlo.transpose, executed 2 times, duration 8.284e-05s, send bytes 0 recv bytes 0, send actions 0, recv actions 0
